Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked,Survived
2,1,50,0,0,14258,10.5,2,1
1,0,50,1,0,17761,106.425,0,-1
1,0,50,2,0,17611,133.65,2,1
2,0,50,0,0,250643,13,2,-1
2,0,51,0,0,1166,12.525,2,-1
1,0,51,0,1,17597,61.3792,0,-1
3,0,51,0,0,21440,8.05,2,-1
3,0,51,0,0,347064,7.75,2,-1
3,0,51,0,0,347743,7.0542,2,-1
1,1,51,1,0,13502,77.9583,2,1
1,0,51,0,0,113055,26.55,2,1
1,0,52,1,1,110413,79.65,2,-1
1,0,52,0,0,113786,30.5,2,1
1,1,52,1,0,36947,78.2667,0,1
2,0,52,0,0,248731,13.5,2,-1
2,0,52,0,0,250647,13,2,-1
1,1,52,1,1,12749,93.5,2,1
1,1,53,2,0,11769,51.4792,2,1
1,0,54,0,0,17463,51.8625,2,-1
1,0,54,0,1,35281,77.2875,2,-1
2,0,54,1,0,244252,26,2,-1
2,0,54,0,0,29011,14,2,-1
1,1,54,1,0,36947,78.2667,0,1
1,1,54,1,0,17603,59.4,0,1
2,0,54,0,0,28403,26,2,-1
2,1,54,1,3,29105,23,2,1
2,1,55,0,0,248706,16,2,1
1,0,55,0,0,113787,30.5,2,-1
3,0,55.5,0,0,5,8.05,2,-1
1,0,56,0,0,17764,30.6958,0,-1
1,0,56,0,0,113792,26.55,2,-1
1,0,56,0,0,13213,35.5,0,1
1,1,56,0,1,11767,83.1583,0,1
2,0,57,0,0,219533,12.35,1,-1
2,1,57,0,0,3,10.5,2,-1
1,1,58,0,0,113783,26.55,2,1
1,1,58,0,0,17569,146.5208,0,1
1,1,58,0,1,17582,153.4625,2,1
1,0,58,0,0,11771,29.7,0,-1
1,0,58,0,2,35273,113.275,0,-1
3,0,59,0,0,364500,7.25,2,-1
2,0,59,0,0,237442,13.5,2,-1
1,1,60,1,0,110813,75.25,0,1
1,0,60,1,1,13567,79.2,0,1
2,0,60,1,1,29750,39,2,-1
1,0,60,0,0,113800,26.55,2,-1
1,0,61,0,0,111240,33.5,2,-1
3,0,61,0,0,345364,6.2375,2,-1
1,0,61,0,0,36963,32.3208,2,-1
1,0,62,0,0,113514,26.55,2,-1
1,0,62,0,0,113807,26.55,2,-1
2,0,62,0,0,752,10.5,2,1
1,1,62,0,0,113572,80,2,1
1,1,63,1,0,13502,77.9583,2,1
3,1,63,0,0,4134,9.5875,2,1
1,0,64,1,4,19950,263,2,-1
1,0,64,0,0,693,26,2,-1
1,0,65,0,1,113509,61.9792,0,-1
3,0,65,0,0,336439,7.75,1,-1
1,0,65,0,0,13509,26.55,2,-1
2,0,66,0,0,24579,10.5,2,-1
2,0,70,0,0,24580,10.5,2,-1
1,0,70,1,1,5735,71,2,-1
3,0,70.5,0,0,370369,7.75,1,-1
1,0,71,0,0,17754,34.6542,0,-1
1,0,71,0,0,17609,49.5042,0,-1
3,0,74,0,0,347060,7.775,2,-1
1,0,80,0,0,27042,30,2,1
